[2018-06-22 14:30:54,283] INFO - SqsClient - Queue eventprocessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/eventprocessing
[2018-06-22 14:32:25,450] DEBUG - Main - App launched
[2018-06-22 14:32:26,516] DEBUG - S3Client - AWS S3 connection established
[2018-06-22 14:32:26,837] INFO - SqsClient - Creating queue: eventprocessing
[2018-06-22 14:32:26,971] INFO - SqsClient - Queue eventprocessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/eventprocessing
[2018-06-22 14:33:38,519] DEBUG - Main - App launched
[2018-06-22 14:33:39,601] DEBUG - S3Client - AWS S3 connection established
[2018-06-22 14:33:39,917] INFO - SqsClient - Creating queue: eventprocessing
[2018-06-22 14:33:40,082] INFO - SqsClient - Queue eventprocessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/eventprocessing
[2018-06-22 14:34:22,132] DEBUG - Main - App launched
[2018-06-22 14:34:23,279] DEBUG - S3Client - AWS S3 connection established
[2018-06-22 14:34:23,650] INFO - SqsClient - Creating queue: eventprocessing
[2018-06-22 14:34:23,755] INFO - SqsClient - Queue eventprocessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/eventprocessing
[2018-06-22 14:34:23,994] INFO - SqsClient - Destroying queue eventprocessing at https://sqs.eu-west-1.amazonaws.com/552908040772/eventprocessing
[2018-06-22 14:35:00,379] DEBUG - Main - App launched
[2018-06-22 14:35:01,595] DEBUG - S3Client - AWS S3 connection established
[2018-06-22 14:35:01,886] INFO - SqsClient - Creating queue: eventprocessing
[2018-06-22 14:35:11,330] DEBUG - Main - App launched
[2018-06-22 14:35:12,428] DEBUG - S3Client - AWS S3 connection established
[2018-06-22 14:35:12,765] INFO - SqsClient - Creating queue: eventprocessing
[2018-06-22 14:37:56,035] DEBUG - Main - App launched
[2018-06-22 14:37:57,099] DEBUG - S3Client - AWS S3 connection established
[2018-06-22 14:37:57,418] INFO - SqsClient - Creating queue: eventprocessing
[2018-06-22 14:38:28,058] DEBUG - Main - App launched
[2018-06-22 14:38:29,123] DEBUG - S3Client - AWS S3 connection established
[2018-06-22 14:38:29,437] INFO - SqsClient - Creating queue: eventprocessing
[2018-06-22 14:38:29,780] INFO - SqsClient - Queue eventprocessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/eventprocessing
[2018-06-22 14:42:27,642] DEBUG - Main - App launched
[2018-06-22 14:42:28,782] DEBUG - S3Client - AWS S3 connection established
[2018-06-22 14:42:29,108] INFO - SqsClient - Creating queue: eventprocessing
[2018-06-22 14:42:29,242] INFO - SqsClient - Queue eventprocessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/eventprocessing
[2018-06-22 14:43:34,282] DEBUG - Main - App launched
[2018-06-22 14:43:35,384] DEBUG - S3Client - AWS S3 connection established
[2018-06-22 14:43:35,693] INFO - SqsClient - Creating queue: eventprocessing
[2018-06-22 14:43:35,806] INFO - SqsClient - Queue eventprocessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/eventprocessing
[2018-06-22 14:44:32,000] DEBUG - Main - App launched
[2018-06-22 14:44:33,130] DEBUG - S3Client - AWS S3 connection established
[2018-06-22 14:44:33,434] INFO - SqsClient - Creating queue: eventprocessing
[2018-06-22 14:44:33,569] INFO - SqsClient - Queue eventprocessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/eventprocessing
[2018-06-22 14:44:58,286] DEBUG - Main - App launched
[2018-06-22 14:44:59,373] DEBUG - S3Client - AWS S3 connection established
[2018-06-22 14:44:59,740] INFO - SqsClient - Creating queue: eventprocessing
[2018-06-22 14:44:59,842] INFO - SqsClient - Queue eventprocessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/eventprocessing
[2018-06-22 14:46:54,789] DEBUG - Main - App launched
[2018-06-22 14:46:55,866] DEBUG - S3Client - AWS S3 connection established
[2018-06-22 14:46:56,164] INFO - SqsClient - Creating queue: eventprocessing
[2018-06-22 14:46:56,292] INFO - SqsClient - Queue eventprocessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/eventprocessing
[2018-06-22 14:47:19,181] DEBUG - Main - App launched
[2018-06-22 14:47:20,364] DEBUG - S3Client - AWS S3 connection established
[2018-06-22 14:47:20,677] INFO - SqsClient - Creating queue: eventprocessing
[2018-06-22 14:47:20,783] INFO - SqsClient - Queue eventprocessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/eventprocessing
[2018-06-22 15:58:47,450] DEBUG - Main - App launched
[2018-06-22 16:02:14,654] DEBUG - Main - App launched
[2018-06-22 16:02:16,109] DEBUG - S3Client - AWS S3 connection established
[2018-06-22 16:02:16,503] INFO - SqsClient - Creating queue: eventprocessing
[2018-06-22 16:02:16,867] INFO - SqsClient - Queue eventprocessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/eventprocessing
[2018-06-22 16:18:03,944] DEBUG - Main - App launched
[2018-06-22 16:18:05,320] DEBUG - S3Client - AWS S3 connection established
[2018-06-22 16:18:05,718] INFO - SqsClient - Creating queue: eventprocessing
[2018-06-22 16:18:05,883] INFO - SqsClient - Queue eventprocessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/eventprocessing
[2018-06-22 16:22:09,846] DEBUG - Main - App launched
[2018-06-22 16:22:11,218] DEBUG - S3Client - AWS S3 connection established
[2018-06-22 16:22:11,752] INFO - SqsClient - Creating queue: eventprocessing
[2018-06-22 16:22:11,857] INFO - SqsClient - Queue eventprocessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/eventprocessing
[2018-06-22 16:22:11,877] INFO - SnSClient - SnsClient created
[2018-06-22 17:11:45,434] DEBUG - Main - App launched
[2018-06-22 17:11:46,796] DEBUG - S3Client - AWS S3 connection established
[2018-06-22 17:11:47,139] INFO - SqsClient - Creating queue: EventProcessing
[2018-06-22 17:11:47,372] INFO - SqsClient - Queue EventProcessing created at https://sqs.eu-west-1.amazonaws.com/552908040772/EventProcessing
