Start Time,End Time,Number of Responses,Average Value
1531153276497,1531153336496,0,No Readings In TimeRange
1531153336497,1531153396496,3,7.129852174694548
1531153396497,1531153456496,11,8.7129488251991
1531153456497,1531153516496,7,8.80143481878228
1531153516497,1531153576496,13,9.047490370454788
1531153576497,1531153636496,2922,9.057771965432673
1531153636497,1531153696496,126,9.123757889831277
