Start Time,End Time,Number of Responses,Average Value
1530867629473,1530867689472,0,NaN
1530867689473,1530867749472,0,NaN
1530867749473,1530867809472,2,2.8394128309961992
1530867809473,1530867869472,2,8.582803238601706
